sample_idx,sample_id,yelp_idx,yelp_business_id,match_confidence,best_name_source,name_similarity,base_name_similarity,sample_name,sample_base_name,yelp_name,best_categories_source,categories_similarity,base_categories_similarity,sample_categories,sample_base_categories,yelp_categories,best_address_source,address_similarity,base_address_similarity,sample_address,sample_base_address,yelp_address
735,08f42d9d6e29845403d6b6ed118b2c53,1580,hOnVPQXS9ZJU9njHY9aZwQ,0.45999999999999996,2,0.61,0.61,richfeel trichology center,richfeel trichology center,tesla service center,2,0.0,0.0,"['health_and_medical', 'cafe']","['pharmaceutical_companies', 'medical_center', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']","['solar_installation', 'auto_repair', 'home_services', 'automotive', 'car_dealers']",1,0.24,0.31,"shop no. u-1/2, ascon city building, opp. maheshwari bhavan, city light road, 395007","shop no. u 1, ascon city building, 2, city light road, surat, GUJARAT, 395007","8280 castleton corner dr, indianapolis, IN, 46250"
738,08f444057518baa8032e7995b4f5455b,1234,PJnBmcaUrXVpqwqL2SNtOw,0.54,0,0.53,0.35,hanger clinic,hanger clinic prosthetics & orthotics,caplan eye clinic,2,0.0,0.0,"['prosthetics', 'medical_supply', 'professional_services']","['orthotics', 'prosthetics', 'health_and_medical']","['health_&_medical', 'doctors', 'ophthalmologists', 'optometrists']",1,0.45,0.55,"6363 main st, zachary, LA, 70791","6363 main st ste e, zachary, LA, 70791","3409 n hullen st, ste 100, metairie, LA, 70002"
739,08f3c5a1526168d103616326f788b671,1640,xg3OfgwSF0bzFaQDPekj6Q,0.5,1,0.38,0.62,renault,renault margherita,great anerican,2,0.0,0.0,"['car_dealer', 'automotive_dealer']",['automotive'],"['billing_services', 'community_service/non-profit', 'local_services', 'professional_services']",0,0.38,0.35,"no 1, lazum block, tiniali, tinsukia, 786181","no 1, lazum block, tiniali, tinsukia, ASSAM, 786181","2451 atrium way, nashville, TN, 37214"
740,1125899912042890,350,Qa1YQzo00sm9O0JUlwdCQw,0.535,2,0.45,0.45,stewart's shops,stewart's shops,taste of nawlins,2,0.0,0.0,"['convenience_store', 'gas_station', 'automotive', 'retail']","['convenience_store', 'gas_station', 'automotive', 'retail']","['historical_tours', 'tours', 'hotels_&_travel', 'food_tours', 'walking_tours']",2,0.62,0.62,"2711 main st, lake placid, NY, 12946","2711 main st, lake placid, NY, 12946","504 madison st, new orleans, LA, 70116"
741,08f2661bad10940003cd7a206d96a845,36340,K7COP3apcoLdA54zavg5UQ,0.615,2,0.45,0.45,kirby risk distribution center,kirby risk distribution center,puccini's pizza pasta - clearwater,2,0.0,0.0,"['business_manufacturing_and_supply', 'wholesale_store', 'laboratory_testing']","['warehouses', 'electrical_supply_store', 'b2b_storage_and_warehouses', 'business_storage_and_transportation', 'business_to_business', 'retail']","['wine_bars', 'bars', 'restaurants', 'pizza', 'nightlife', 'gluten-free', 'italian']",2,0.78,0.78,"5501 w 52nd st, indianapolis, IN, 46254","5501 w 52nd st, indianapolis, IN, 46254","3944 e 82nd st, indianapolis, IN, 46240"
742,08f48eba2a46c52d03481eadd18b4c17,19466,ZXXGB-xi6n3RE3X1OzRR6g,0.55,2,0.53,0.53,bagel nosh,bagel nosh,walgreens,2,0.0,0.0,"['bagel_shop', 'cafe', 'coffee_shop']","['bagel_restaurant', 'breakfast_and_brunch_restaurant', 'restaurant']","['drugstores', 'shopping', 'photography_stores_&_services', 'beauty_&_spas', 'cosmetics_&_beauty_supply', 'convenience_stores', 'food']",0,0.57,0.54,"835 w warner rd, gilbert, AZ, 85233","835 w warner rd ste 109, gilbert, AZ, 85233","4685 e grant rd, tucson, AZ, 85712"
743,844424933252698,10832,GwgLxRosVHLjI1I7nA5heQ,0.65,0,0.55,0.45,meineke car care center,meineke car care centre,enterprise rent-a-car,2,0.0,0.0,"['tire_shop', 'automotive', 'retail']","['tire_shop', 'automotive', 'retail']","['hotels_&_travel', 'car_rental']",2,0.75,0.75,"6512 75th street, edmonton, AB, T6E 6E4","6512 75th street, edmonton, AB, T6E 6E4","7520 104th st, edmonton, AB, T6E 6J4"
744,08f44e540c45806d036445fe6c54049d,9067,SbMcDs06t7IPgXALJ2aNZg,0.46,1,0.39,0.4,sport clips haircuts of panama city - cahall's deli plaza,sport clips haircuts of lynn haven,city market eats,2,0.0,0.0,"['barber', 'beauty_and_spa']","['barber', 'hair_salon', 'beauty_and_spa']","['coffee_&_tea', 'food', 'hot_dogs', 'restaurants', 'bagels', 'ice_cream_&_frozen_yogurt']",1,0.45,0.52,"2105 s highway 77, lynn haven, FL, 32444","2105 florida 77, suite ste 2, lynn haven, FL, 32444","206 n morgan st, tampa, FL, 33602"
745,08f29a0993196b6903be6556ae6d92e6,12287,dC9qdb4-6fVaQ8_KBGZpuA,0.49,0,0.41,0.4,ranch muffler and truck accessories,ranch muffler & truck accessories,farmers insurance - ryan warner,2,0.0,0.0,"['automotive_parts_and_accessories', 'auto_customization', 'tire_dealer_and_repair']","['b2b_truck_equipment_parts_and_accessories', 'trucks_and_industrial_vehicles', 'auto_parts_and_supply_store', 'truck_repair', 'business_storage_and_transportation', 'automotive', 'business_to_business', 'retail']","['financial_services', 'insurance']",1,0.54,0.57,"27495 commerce center dr, temecula, CA, 92590","27495 commerce center dr ste a, temecula, CA, 92590","4915 carpinteria ave, ste d, carpinteria, CA, 93013"
746,08f2aab52140802c0395a9524fcac41d,1063,fWMPbickerGWohPy2vDL5A,0.56,2,0.64,0.64,liberty tax,liberty tax,ulta beauty,2,0.0,0.0,"['trusts', 'financial_service', 'accountant']","['tax_services', 'tax_office']","['day_spas', 'shopping', 'skin_care', 'hair_salons', 'beauty_&_spas', 'cosmetics_&_beauty_supply']",1,0.42,0.48,"3801 plank rd, fredericksburg, VA, 22407","3801 plank rd ste b, fredericksburg, VA, 22407","301 marketplace mile, ste 120, plainfield, IN, 46168"
747,08f1f1b249ba946b03529572f455053c,1262,tFh0DrDMTom4B3pHpDpRNQ,0.445,2,0.52,0.52,fielmann,fielmann,platoon fitness,2,0.0,0.0,"['eyewear_and_optician', 'optometrist']",['retail'],"['boot_camps', 'weight_loss_centers', 'health_&_medical', 'gyms', 'trainers', 'fitness_&_instruction', 'active_life', 'martial_arts', 'massage_therapy', 'nutritionists']",0,0.37,0.34,"berliner straße 61, görlitz, 02826","berliner str. 61, görlitz, SAXONY, 02826","716 walnut st, philadelphia, PA, 19106"
748,08f1f99cc3cb391403d5856323e961ae,113,Fk1xpM7fjqEJ4paqk5ZFSg,0.53,0,0.62,0.18,juice,juice milano caneva apple premium reseller e centro assistenza autorizzato apple,jamba juice,2,0.0,0.0,"['electronics', 'computer_store', 'restaurant']","['computer_store', 'electronics', 'information_technology_company', 'electronics_repair_shop', 'it_service_and_computer_repair', 'business_to_business_services', 'business_to_business', 'retail']","['juice_bars_&_smoothies', 'food']",1,0.39,0.44,"via cenisio, 61, milano, 25, 20154","via cenisio, 61, milano, MI, 20154","13601 w mcmillan rd, ste 103, boise, ID, 83713"
750,08f44abb7594926303625ed86db05aad,1114,6pO4Dr8Kg5FnhqCsFDyaeg,0.555,2,0.55,0.55,florida coast equipment,florida coast equipment,florida auto exchange,2,0.0,0.0,"['industrial_equipment', 'outdoor_gear']","['b2b_tractor_dealers', 'trucks_and_industrial_vehicles', 'business_storage_and_transportation', 'business_to_business']","['automotive', 'car_dealers']",2,0.56,0.56,"3030 cuyler st, mims, FL, 32754","3030 cuyler st, mims, FL, 32754","2201 main st, dunedin, FL, 34698"
751,1407374885690852,48559,MU_cvmsylNEGvQsjjudtZg,0.8400000000000001,2,1.0,1.0,clarkson eyecare,clarkson eyecare,clarkson eyecare,2,0.0,0.0,"['optometrist', 'eye_care_clinic', 'health_and_medical']","['optometrist', 'eye_care_clinic', 'health_and_medical']","['doctors', 'shopping', 'ophthalmologists', 'optometrists', 'health_&_medical', 'eyewear_&_opticians']",0,0.68,0.63,"2572 lemay ferry rd, saint louis, MO, 63125","2572 lemay ferry rd, st. louis, MO, 63125","3122 s grand, saint louis, MO, 63118"
754,08f28362f5959d9e03ae4e554ed7ead2,2960,2eVDlVkr2uD3wdr6PbL7_A,0.47,2,0.47,0.47,buffalo wild wings,buffalo wild wings,wells fargo bank,2,0.0,0.0,"['chicken_restaurant', 'american_restaurant', 'bar']","['sports_bar', 'bar', 'chicken_wings_restaurant', 'fast_food_restaurant', 'sandwich_shop', 'food', 'restaurant']","['banks_&_credit_unions', 'financial_services']",0,0.47,0.39,"1537 s lower sacramento rd, lodi, CA, 95242","1537 lower sacramento rd unit 110, lodi, CA, 95242","6530 pardall rd, ste a, isla vista, CA, 93117"
755,1407374886265533,17504,rxDc-ZGIC8aUO-Bwg2yXSQ,0.455,2,0.46,0.46,larry h miller chrysler jeep avondale,larry h miller chrysler jeep avondale,affordable yard and tree service,2,0.0,0.0,"['used_car_dealer', 'automotive']","['used_car_dealer', 'automotive']","['tree_services', 'junk_removal_&_hauling', 'local_services', 'snow_removal', 'firewood', 'handyman', 'home_services', 'landscaping']",2,0.45,0.45,"10055 w papago fwy, avondale, AZ, 85323","10055 w papago fwy, avondale, AZ, 85323","21 n evelyn ave, tucson, AZ, 85710"
756,08f2621b7052304a03ba951dc99f9387,978,oY6osC4Ch3PvguA7D1hh_w,0.5,2,0.53,0.53,arby's,arby's,starbucks,2,0.0,0.0,"['fast_food_restaurant', 'burger_restaurant', 'american_restaurant']","['fast_food_restaurant', 'sandwich_shop', 'restaurant']","['coffee_&_tea', 'food']",2,0.47,0.47,"21595 diamond lake rd s, rogers, MN, 55374","21595 s diamond lake rd, rogers, MN, 55374","1251 route 130 s, cinnaminson, NJ, 08077"
757,562949957884331,1480,Yc51BiqWFv9M1J2GIkEftQ,0.465,2,0.55,0.55,genesis digestive disease specialists,genesis digestive disease specialists,alliance mental health specialists - reno,2,0.0,0.0,"['gastroenterologist', 'doctor', 'health_and_medical']","['gastroenterologist', 'doctor', 'health_and_medical']","['health_&_medical', 'psychiatrists', 'doctors', 'counseling_&_mental_health']",2,0.38,0.38,"999 garden rd, zanesville, OH, 43701","999 garden road, zanesville, OH, 43701","6880 south mccarran blvd, ste 14, reno, NV, 89509"
758,08f60a25956e9c3203411ea2c362c408,19244,bySoFVPOK7cktWI5pqqoNw,0.48000000000000004,1,0.46,0.56,profile publishing location name - suite,profile publishing location 1,action roofing,2,0.0,0.0,['automotive'],['automotive'],"['home_services', 'gutter_services', 'shopping', 'roofing', 'hardware_stores', 'building_supplies', 'contractors', 'home_&_garden']",2,0.4,0.4,"1766 palo verde ave, east palo alto, CA, 96303","1766 palo verde ave, east palo alto, CA, 96303","534 e ortega st, santa barbara, CA, 93103"
759,08f441ab99d1e40903520592b478eaee,32541,Qd8W5ykeiCN-FHGIZeoaKg,0.6699999999999999,2,0.6,0.6,delicae gourmet,delicae gourmet,bread & butter gourmet deli,2,0.0,0.0,"['restaurant', 'grocery_store', 'professional_services']","['business_management_services', 'consultant_and_general_service', 'business_to_business_services', 'business_to_business']","['delis', 'restaurants']",2,0.74,0.74,"1310 e lake dr, tarpon springs, FL, 34688","1310 e lake dr, tarpon springs, FL, 34688","1880 s pinellas ave, tarpon springs, FL, 34689"
760,08f2664d85c81c63034a4d773dfc3f7a,120808,MTXCqknh-kRGHKA4U_ICLg,0.485,2,0.45,0.45,leslie guidotti breting ph d,leslie guidotti breting ph d,kettle river furniture & bedding,2,0.0,0.0,"['psychologist', 'pediatrician', 'doctor']","['psychologist', 'pediatrician', 'doctor', 'health_and_medical']","['kitchen_&_bath', 'furniture_reupholstery', 'mattresses', 'home_decor', 'furniture_stores', 'local_services', 'office_equipment', 'shopping', 'home_&_garden']",2,0.52,0.52,"909 davis st ste 160, evanston, IL, 60201","909 davis st ste 160, evanston, IL, 60201","1091 s state rte 157, edwardsville, IL, 62025"
762,1688849863724869,392,EIlFs8kybcG-l60GJjNUIA,0.475,2,0.57,0.57,domino's pizza - bristol - stoke bishop,domino's pizza - bristol - stoke bishop,domino's pizza,2,0.0,0.0,"['food_delivery_service', 'pizza_restaurant', 'food', 'restaurant']","['food_delivery_service', 'pizza_restaurant', 'food', 'restaurant']","['pizza', 'chicken_wings', 'restaurants', 'sandwiches']",2,0.38,0.38,"4 trymwood parade, shirehampton road, bristol, BS9 2DP","4 trymwood parade, shirehampton road, bristol, BS9 2DP","3800 tampa rd, ste 180, oldsmar, FL, 34677"
763,1407374887156369,24209,u8J1nL2ZwOB4nRRN5v88vA,0.755,2,1.0,1.0,petsmart,petsmart,petsmart,2,0.375,0.375,"['dog_trainer', 'pet_training', 'pet_store', 'pet_services', 'pets', 'retail']","['dog_trainer', 'pet_training', 'pet_store', 'pet_services', 'pets', 'retail']","['pet_training', 'pet_groomers', 'pet_services', 'pets', 'pet_stores']",2,0.51,0.51,"2568 w commonwealth ave, alhambra, CA, 91803","2568 w commonwealth ave, alhambra, CA, 91803","220 n milpas st, santa barbara, CA, 93103"
765,08f44a102dd90792034b72e58fb5a851,3909,prEEus2L3Xo01nOvs2MaKg,0.515,2,0.41,0.41,supergreen solutions north miami,supergreen solutions north miami,main street bakery npr,2,0.0,0.0,"['energy_equipment_and_solution', 'lighting_fixtures_and_equipment', 'solar_installation']","['energy_equipment_and_solution', 'lighting_fixtures_and_equipment', 'solar_installation', 'business_equipment_and_supply', 'business_to_business']","['bakeries', 'salad', 'restaurants', 'food', 'desserts']",0,0.62,0.59,"1350 ne 125 st ste 201fc, north miami, FL, 33161","1350 ne 125th st ste 201fc, north miami, FL, 33161","5500 main st, ste 115, new port richey, FL, 34652"
766,08f26c080cc22a5b032d8b1439e5354a,1496,St0MOWhOcfipWifVUDEQbA,0.495,2,0.5,0.5,eitzen agency,eitzen agency,pet care clinic,2,0.0,0.0,['insurance_agency'],"['auto_insurance', 'home_and_rental_insurance']","['pet_sitting', 'pet_services', 'veterinarians', 'pets', 'pet_groomers']",1,0.47,0.49,"102 s main st, fairview, OK, 73737","102 s main, fairview, OK, 73737","1151 e fairview ave, meridian, ID, 83642"
768,08fa831ad12aab65035712ae83554296,1028,HJhFyeLCGJTe4UCEniG5XQ,0.44999999999999996,2,0.57,0.57,droga raia,droga raia,dolan mazda,2,0.0,0.0,"['pharmacy', 'health_and_medical', 'beauty_and_spa']","['pharmacy', 'drugstore', 'retail']","['auto_repair', 'automotive', 'car_dealers']",0,0.33,0.31,"rua visconde do rio branco, 2190, são josé dos pinhais, PR, 83005","rua visconde do rio branco 2146 c e n (ro), curitiba, PR, 83005","9475 s virginia st, reno, NV, 89511"
769,08f2a1018894c42903f2e96302f4e7f2,485,0HpYaBbRqaG1df4JckJoUw,0.49,2,0.59,0.59,progressive computing,progressive computing,westchase compounding pharmacy,2,0.0,0.0,"['it_service_and_computer_repair', 'information_technology_company', 'specialty_school']","['information_technology_company', 'it_service_and_computer_repair', 'business_to_business_services', 'business_to_business']","['drugstores', 'shopping']",1,0.38,0.39,"51 smart ave, yonkers, NY, 10704","51 smart ave ste 200, yonkers, NY, 10704","12617 race track rd, tampa, FL, 33626"
770,08f2af634e769b080308c0dc69fae58f,616,diwwt5QBU3-Thig9SVlsOA,0.49,2,0.4,0.4,cracker barrel old country store,cracker barrel old country store,brew brothers,2,0.0,0.0,"['american_restaurant', 'breakfast_and_brunch_restaurant', 'restaurant']","['breakfast_and_brunch_restaurant', 'cafe', 'restaurant']","['bars', 'nightlife', 'american_(traditional)', 'music_venues', 'food', 'arts_&_entertainment', 'restaurants', 'breweries']",0,0.58,0.39,"757 lynnhaven pkwy, virginia beach, VA, 23452","757 lynnhaven pkwy., lynnhaven pkwy & international pkwy, virginia beach, VA, 23452","345 n virginia st, reno, NV, 89501"
771,08f271a2d0294804035e0f9b5baa38d6,1119,ZNfaufwJ0iug9Qz_mTluMw,0.515,2,0.67,0.67,gate city bank,gate city bank,chase bank,2,0.0,0.0,"['bank_credit_union', 'installment_loans', 'atms']","['bank_credit_union', 'atms']","['banks_&_credit_unions', 'financial_services']",2,0.36,0.36,"720 main st, carrington, ND, 58421","720 main st, carrington, ND, 58421","2001 n dale mabry hwy, tampa, FL, 33607"
772,1125899909984305,29305,8D56AQRuyNbeDiOWacsnkQ,0.65,2,0.43,0.43,yale electric supply,yale electric supply,kole plastic surgery center,2,0.0,0.0,"['electrical_supply_store', 'business_to_business', 'retail']","['electrical_supply_store', 'business_to_business', 'retail']","['doctors', 'cosmetic_surgeons', 'plastic_surgeons', 'health_&_medical']",2,0.87,0.87,"1123 street rd, southampton, PA, 18966","1123 street rd, southampton, PA, 18966","1122 street rd, ste 100, southampton, PA, 18966"
773,08f2664cf4a1c59e0326f12a78045d97,29215,-YINXyvMrVXreC5iF9zCfw,0.625,2,0.74,0.74,help at home,help at home,at home,2,0.0,0.0,"['home_health_care', 'health_department', 'disability_services_and_support_organization']","['home_health_care', 'personal_care_service', 'health_and_medical']","['home_&_garden', 'kitchen_&_bath', 'shopping', 'home_decor', 'furniture_stores']",2,0.51,0.51,"238 w cermak rd, chicago, IL, 60616","238 w. cermak rd., chicago, IL, 60616","1287 central park dr, o'fallon, IL, 62269"
774,08f1e15b73ce531b03ec071d30dc52af,1049,9CwlG7V9PZCdLKx1Qs-THg,0.495,2,0.57,0.57,merak,merak,metropawn,2,0.0,0.0,"['barbecue_restaurant', 'restaurant', 'eastern_european_restaurant']","['barbecue_restaurant', 'cafe', 'eastern_european_restaurant', 'restaurant']","['musical_instruments_&_teachers', 'shopping', 'jewelry_repair', 'jewelry', 'pawn_shops', 'local_services']",0,0.42,0.38,"mariahilfer straße 139, wien, 01150","mariahilfer straße 139, wien, VIENNA, 01150","50 e grove st, unit a, reno, NV, 89502"
775,1125899909536180,1271,1DtCtsQLiiU6ZqSDAYbquQ,0.53,1,0.57,0.75,master mechanic pickering,master mechanic,manley mechanical,2,0.0,0.0,"['tire_shop', 'automotive', 'retail']","['tire_shop', 'automotive', 'retail']","['heating_&_air_conditioning/hvac', 'home_services']",2,0.31,0.31,"1211 kingston road, pickering, ON, L1V 1B5","1211 kingston road, pickering, ON, L1V 1B5","3810 shearwater dr, reno, NV, 89508"
776,08f2661a218ad29003a1a04d81b871e3,35045,nZq-ZQxHy9rMeMeNYUXkAw,0.645,2,0.41,0.41,noto nexus,noto nexus,moody eyes downtown,2,0.0,0.0,"['professional_services', 'employment_agencies']",['employment_agencies'],"['shopping', 'optometrists', 'health_&_medical', 'eyewear_&_opticians']",2,0.88,0.88,"121 monument cir, indianapolis, IN, 46204","121 monument cir, indianapolis, IN, 46204","111 monument cir, ste 140, indianapolis, IN, 46204"
777,281474978284403,461,JPm93BlP-UHYPqFgK66JUw,0.515,2,0.55,0.55,goin' postal,goin' postal,local links,2,0.0,0.0,"['courier_and_delivery_services', 'shipping_center']","['courier_and_delivery_services', 'shipping_center']","['coffee_&_tea', 'restaurants', 'american_(new)', 'food', 'cafes', 'breakfast_&_brunch']",0,0.48,0.44,"5638 highway 53, harvest, AL, 35749","5638 al-53, ste b, harvest, AL, 35749","533 station ave, haddon heights, NJ, 08035"
778,08f2832144c15018033b04c5ec312b53,13283,ofoxua8LcsT1Ekwub8dzhA,0.51,2,0.57,0.57,sentry storage,sentry storage,public storage,2,0.0,0.0,"['self_storage_facility', 'storage_facility']","['self_storage_facility', 'retail']","['self_storage', 'local_services']",2,0.45,0.45,"201 folsom dam rd, folsom, CA, 95630","201 folsom dam rd, folsom, CA, 95630","7246 hollister ave, goleta, CA, 93117"
779,08f1f188488e1ca603e40f22bf79c53d,1320,UFpCraqzFBAhtZqmxmiWsA,0.52,2,0.64,0.64,caretherapie24,caretherapie24,cat therapy,2,0.0,0.0,"['physical_therapy', 'occupational_therapy', 'speech_therapist']","['physical_therapy', 'health_and_medical']","['themed_cafes', 'cafes', 'pets', 'arts_&_entertainment', ""women's_clothing"", 'coffee_&_tea', 'shopping', 'pet_adoption', 'fashion', 'pet_sitting', 'accessories', 'pet_stores', 'pet_services', 'food', 'restaurants']",1,0.35,0.4,"hollandweg 24, teltow, 14513","hollandweg 24, teltow, BRANDENBURG, 14513","1213 state st, ste l, santa barbara, CA, 93101"
780,08f44436a92919ae03192e5f0a743fa3,482,XTWGzxXdQN0DVVH2GPGwiA,0.515,2,0.7,0.7,days inn & suites by wyndham vicksburg,days inn & suites by wyndham vicksburg,days inn by wyndham reno south,2,0.0,0.0,"['resort', 'hotel', 'inn']","['resort', 'hotel', 'inn', 'motel', 'travel']","['hotels', 'hotels_&_travel', 'event_planning_&_services']",2,0.33,0.33,"90 warrenton rd, vicksburg, MS, 39180","90 warrenton rd, vicksburg, MS, 39180","5851 s virginia st, no.101, reno, NV, 89502"
781,08f2a9ed256210710308baf728ff2b94,442,KDcHC6Es_jv4tloj0NP6gA,0.555,2,0.78,0.78,family dollar,family dollar,family air,2,0.0,0.0,"['discount_store', 'grocery_store', 'retail']","['discount_store', 'retail']","['home_services', 'heating_&_air_conditioning/hvac']",2,0.33,0.33,"17330 state route 247, seaman, OH, 45679","17330 state route 247, seaman, OH, 45679","2021 e 12th st, tucson, AZ, 85719"
782,08f19424ccc1e0820363bbececd4900d,484,iONfxRWQqA8pAPMZFNLaug,0.485,2,0.5,0.5,evri parcelshop,evri parcelshop,nutrishop,2,0.1,0.1,"['food_delivery_service', 'courier_and_delivery_services', 'food']","['food_delivery_service', 'courier_and_delivery_services', 'food']","['weight_loss_centers', 'food', 'health_markets', 'health_&_medical', 'specialty_food', 'shopping', 'vitamins_&_supplements', 'personal_shopping']",2,0.47,0.47,"385 ashton road, oldham, OL8 2NA","385 ashton road, oldham, OL8 2NA","2940 providence lakes blvd, brandon, FL, 33511"
784,08f2668b8579dc5a03afce7f390fe275,1795,WQAvCYm8BNMO1L2pMbkW-g,0.655,2,1.0,1.0,circle k,circle k,circle k,1,0.0,0.1111111111111111,"['convenience_store', 'gas_station', 'coffee_shop']","['convenience_store', 'gas_station', 'automotive', 'retail']","['automotive', 'gas_stations', 'convenience_stores', 'food', 'shopping', 'tobacco_shops']",2,0.31,0.31,"7800 st andrews church rd, louisville, KY, 40214","9737 old third st rd, louisville, KY, 40272","10600 roosevelt blvd n, st. petersburg, FL, 33716"
786,08f2b9bc2ad9c8a503865f53d38bd727,78,x9K0RfZaT_zlw6DklBDzjw,0.48,2,0.48,0.48,digital marketing reputation agency,digital marketing reputation agency,gavi italian restaurant,2,0.0,0.0,"['marketing_agency', 'advertising_agency', 'social_media_agency']","['advertising_agency', 'marketing_agency', 'web_designer', 'e_commerce_service']","['italian', 'restaurants']",0,0.48,0.44,"477 wilson heights blvd, toronto, ON, M3H 2V4","477 wilson heights blvd, north york, ON, M3H 2V4","7401 n la cholla blvd, ste 146, tucson, AZ, 85707"
787,08f29a4714a4879e03bb7589c7e079e7,31391,1J0NIfmrSuV72KzhmYFxMA,0.51,2,0.43,0.43,opal and findings,opal and findings,pane e vino,2,0.0,0.0,"['b2b_jewelers', 'industrial_equipment']","['jewelry_store', 'b2b_jewelers', 'business_to_business', 'retail']","['restaurants', 'italian']",2,0.59,0.59,"15175 highland valley rd, escondido, CA, 92025","15175 highland valley rd, escondido, CA, 92025","1482 e valley rd, montecito, CA, 93108"
788,08f1f8c1194184f0035178d382da29d2,786,ufscOQH8rFo4BHIHj0au3A,0.42500000000000004,0,0.39,0.32,zahn rzte in der f16,zahn rzte in der f16 zahngesundheit,kristi's pet grooming,2,0.0,0.0,"['dentist', 'cosmetic_dentist', 'family_practice']","['dentist', 'health_and_medical']","['pets', 'pet_stores', 'pet_services', 'pet_groomers']",1,0.45,0.46,"filchnerstraße 16, neu-ulm, 89231","filchnerstr. 16, neu-ulm, 89231","3689 kings row, reno, NV, 89503"
790,08f2aa6524b204d80374531f4a5f9685,117,kk_oEw1j3xQ-cJaAII8A0Q,0.545,2,0.64,0.64,sprint store,sprint store,giant food store,2,0.0,0.0,[],[],"['grocery', 'food']",0,0.45,0.31,"3701 mckinley pkwy ste 1066, blasdell, NY, 14219","3701 mckinley pkwy, buffalo, NY, 14219","1760 dekalb pike, blue bell, PA, 19422"
792,08f44e5a4a781c1e03baeb3101f89e1e,2273,WCrj-Jvl_3Cu-9qw-TWZ4Q,0.765,2,1.0,1.0,dillard's,dillard's,dillard's,2,0.0,0.0,"['department_store', 'clothing_store', 'retail']","['clothing_store', 'department_store', 'retail']","['department_stores', 'shopping', 'fashion', ""women's_clothing"", ""men's_clothing"", ""children's_clothing""]",0,0.53,0.51,"300 mary esther blvd, mary esther, FL, 32569","300 mary esther blvd #119, mary esther, FL, 32569","8161 citrus park town ctr blvd, tampa, FL, 33625"
793,08f444642579a5720341f6cc7a5371f4,38877,3-69Zp0UWQafow9ilWDjvA,0.9099999999999999,2,0.82,0.82,holiday inn express new orleans dwtn - fr qtr area,holiday inn express new orleans dwtn - fr qtr area,holiday inn express new - orleans downtown,2,0.0,0.0,"['hotel', 'accommodation', 'travel_company']","['resort', 'hotel', 'inn', 'motel']","['event_planning_&_services', 'hotels_&_travel', 'venues_&_event_spaces', 'hotels']",1,0.85,1.0,"334 o'keefe ave, new orleans, LA, 70112","334 okeefe ave, new orleans, LA, 70112","334 okeefe ave, new orleans, LA, 70112"
794,1407374886541591,16633,bVJjMRwarXujH95vC_7PVQ,0.71,2,1.0,1.0,walmart,walmart,walmart,2,0.0,0.0,"['money_transfer_services', 'retail']",['retail'],"['food', 'shopping', 'fashion', 'discount_store', 'grocery', 'electronics', 'drugstores', 'department_stores']",2,0.42,0.42,"4283 carter st, vidalia, LA, 71373","4283 carter st, vidalia, LA, 71373","8101 w judge perez dr, chalmette, LA, 70043"
795,08f2a34c98322865039114f213a2ebe2,324,IOZrqUQ2Jg6UeQ5CWpsmkg,0.51,2,0.43,0.43,big apple store,big apple store,nesbit's magazine street market,2,0.0,0.0,"['convenience_store', 'gas_station', 'grocery_store']","['convenience_store', 'retail']","['convenience_stores', 'food', 'grocery', 'coffee_&_tea', 'beer', 'wine_&_spirits']",2,0.59,0.59,"386 maine st, poland, ME, 04274","386 maine st, poland, ME, 04274","301 magazine st, new orleans, LA, 70130"
796,08f44c1219aec130039cd6f8a71b69b4,1225,GiyWpSiEUUWqZTUcG3LRkw,0.47500000000000003,2,0.56,0.56,d1 training milton,d1 training milton,breakthrough training,2,0.0,0.0,"['gym', 'boot_camp', 'sports_and_fitness_instruction']","['gym', 'active_life']","['educational_services', 'education', 'vocational_&_technical_school', 'specialty_schools']",0,0.39,0.38,"12850 highway 9 n, alpharetta, GA, 30004","12850 highway 9 n ste 1800, alpharetta, GA, 30004","140 washington st, ste 100, reno, NV, 89503"
798,08f4450031226a49035b3d52268cd10c,519,ufvaaDCkJj5pW4f7_DSN5w,0.47,2,0.42,0.42,southerncarlson,southerncarlson,firestone complete auto care,2,0.0,0.0,"['fastener_supplier', 'business_to_business']","['fastener_supplier', 'business_to_business']","['auto_parts_&_supplies', 'automotive', 'auto_repair', 'tires', 'oil_change_stations']",2,0.52,0.52,"3747 government blvd ste b4, mobile, AL, 36693","3747 government blvd ste b4, mobile, AL, 36693","777 middletown blvd, langhorne, PA, 19047"
799,08f1954d312ca57303c50dacaec92828,396,csJKpjAqZu42-pPhFLfPLw,0.5900000000000001,2,0.67,0.67,seven spices,seven spices,seven qi spa,2,0.0,0.0,['restaurant'],['restaurant'],"['beauty_&_spas', 'massage']",2,0.51,0.51,"136 manse road, newmains, wishaw, ML2 9BD","136 manse road, newmains, wishaw, ML2 9BD","922 canal st, new orleans, LA, 70130"
